sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,AES-GCM,128,1,-1,0.00,0.00,0.00,0.00,1354551.43,51863.37,1335992.36,1373110.50,5442.73,7236.56,2853.16,8032.30,0.00,0.00,0.00,0.00,412,736.54,30.56,725.60,747.47
RSA,AES-GCM,128,2,-1,46139.80,10268.10,42465.41,49814.19,2707708.83,97427.70,2672844.78,2742572.89,7919.23,9169.12,4638.10,11200.36,1757.30,2678.77,798.71,2715.89,668,362.40,14.05,357.37,367.43
RSA,AES-GCM,128,3,-1,86398.90,5753.50,84340.04,88457.76,4054852.83,141991.64,4004041.78,4105663.89,9918.23,7420.93,7262.69,12573.78,2966.43,3100.47,1856.94,4075.92,924,241.04,8.65,237.94,244.13
RSA,AES-GCM,128,4,-1,129333.07,10185.47,125688.24,132977.89,5308503.57,104442.45,5271129.32,5345877.82,9330.43,9594.84,5896.96,12763.90,3195.20,2776.79,2201.54,4188.86,1180,183.56,4.02,182.12,185.00
RSA,AES-GCM,128,5,-1,173384.50,10917.00,169477.90,177291.10,6600341.47,120589.43,6557189.09,6643493.84,10797.60,9437.27,7420.52,14174.68,5336.73,9234.54,2032.20,8641.27,1436,147.34,2.97,146.27,148.40
RSA,AES-GCM,128,6,-1,242599.13,22114.31,234685.63,250512.64,8080376.40,108456.13,8041565.87,8119186.93,29063.10,17235.04,22895.62,35230.58,12524.17,9297.27,9197.18,15851.15,1692,119.58,1.96,118.88,120.28
RSA,AES-GCM,128,7,-1,288987.33,38395.36,275247.73,302726.93,9386390.70,206917.94,9312346.07,9460435.33,32763.87,25589.85,23606.66,41921.08,12765.27,14483.03,7582.58,17947.95,1948,102.94,2.68,101.98,103.90
RSA,AES-GCM,128,8,-1,310853.27,17890.42,304451.26,317255.27,10157424.60,113883.85,10116671.79,10198177.41,22378.30,21105.34,14825.85,29930.75,7989.50,3747.99,6648.30,9330.70,2204,95.27,1.26,94.82,95.72
RSA,AES-GCM,256,1,-1,0.00,0.00,0.00,0.00,1296319.67,47043.72,1279485.29,1313154.05,1444.90,1907.42,762.34,2127.46,0.00,0.00,0.00,0.00,540,771.52,26.71,761.96,781.08
RSA,AES-GCM,256,2,-1,43678.07,7536.79,40981.06,46375.07,2612359.03,88605.56,2580651.94,2644066.12,5596.33,7743.04,2825.52,8367.14,1199.63,1519.15,656.01,1743.25,796,376.03,13.44,371.22,380.84
RSA,AES-GCM,256,3,-1,91605.73,13990.21,86599.40,96612.07,4013414.27,148934.46,3960118.76,4066709.78,11434.33,12371.52,7007.24,15861.43,3795.40,3803.67,2434.27,5156.53,1052,243.10,9.89,239.56,246.64
RSA,AES-GCM,256,4,-1,136105.23,26361.91,126671.74,145538.72,5206223.40,225601.35,5125492.99,5286953.81,14059.50,13483.85,9234.37,18884.63,4577.30,3947.14,3164.83,5989.77,1308,186.93,8.53,183.88,189.98
