sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,None,128,6,-1,453608.77,289847.27,349888.25,557329.28,3950689.50,333972.98,3831178.80,4070200.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1664,230.41,26.09,221.07,239.74
RSA,None,128,7,-1,466873.90,288894.70,363494.26,570253.54,4583014.40,564062.27,4381167.31,4784861.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1920,201.74,25.00,192.80,210.69
RSA,None,128,8,-1,486194.27,263911.14,391754.88,580633.66,4984573.87,293472.69,4879556.01,5089591.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2176,184.12,14.50,178.93,189.31
RSA,None,256,1,-1,0.00,0.00,0.00,0.00,695264.73,163366.49,636804.79,753724.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,512,1491.36,243.24,1404.32,1578.40
RSA,None,256,2,-1,150883.40,146472.52,98468.88,203297.92,1456665.60,349508.42,1331595.62,1581735.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,768,661.83,146.24,609.50,714.17
RSA,None,256,3,-1,230719.03,231589.99,147845.62,313592.45,2069467.37,352861.08,1943197.65,2195737.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1024,452.31,81.30,423.22,481.40
RSA,None,256,4,-1,288578.10,268023.96,192666.96,384489.24,2694694.50,395191.22,2553277.14,2836111.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1280,345.09,49.81,327.26,362.91
RSA,None,256,5,-1,348060.77,174716.74,285539.19,410582.35,3308080.27,331816.04,3189341.42,3426819.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1536,277.68,32.95,265.88,289.47
RSA,None,256,6,-1,453001.20,325990.14,336347.13,569655.27,3983709.40,402578.16,3839648.65,4127770.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1792,229.52,27.82,219.57,239.48
RSA,None,256,7,-1,485484.00,171654.30,424058.30,546909.70,4614525.17,387810.37,4475749.01,4753301.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2048,198.03,19.57,191.03,205.03
