sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,None,256,6,-1,186718.50,41863.04,171738.00,201699.00,3716504.60,199108.32,3645254.60,3787754.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1792,256.96,13.84,252.01,261.92
RSA,None,256,7,-1,193487.60,10718.82,189651.92,197323.28,4249636.00,188302.20,4182252.92,4317019.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2048,225.46,9.31,222.12,228.79
RSA,None,256,8,-1,244243.10,61425.21,222262.37,266223.83,4850902.87,212328.89,4774921.95,4926883.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2304,196.70,9.21,193.41,200.00
RSA,None,512,1,-1,0.00,0.00,0.00,0.00,641297.33,100147.75,605459.92,677134.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,768,1584.34,169.55,1523.67,1645.01
RSA,None,512,2,-1,46272.37,27090.00,36578.33,55966.40,1285221.50,143381.71,1233913.01,1336529.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1024,759.77,77.43,732.06,787.48
RSA,None,512,3,-1,168899.03,77710.11,141090.83,196707.24,3048570.70,692744.58,2800675.24,3296466.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1280,332.60,98.84,297.23,367.97
RSA,None,512,4,-1,146964.07,70495.65,121737.52,172190.61,2936481.80,776835.37,2658494.83,3214468.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1536,340.05,61.18,318.15,361.94
RSA,None,512,5,-1,166563.17,50684.51,148425.95,184700.38,3217981.43,258781.92,3125377.51,3310585.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1792,297.45,23.61,289.00,305.89
RSA,None,512,6,-1,204492.03,48606.58,187098.39,221885.67,3856774.53,250807.47,3767024.23,3946524.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2048,247.33,16.52,241.42,253.24
RSA,None,512,7,-1,260394.53,76659.26,232962.37,287826.70,4474293.63,278240.69,4374726.48,4573860.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2304,212.14,14.10,207.10,217.19
RSA,None,512,8,-1,277015.03,67943.15,252701.89,301328.18,5043170.63,301008.24,4935456.22,5150885.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2560,188.70,11.64,184.53,192.86
RSA,None,1024,1,-1,0.00,0.00,0.00,0.00,630802.20,84223.97,600663.04,660941.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1280,1604.94,154.11,1549.79,1660.09
RSA,None,1024,2,-1,34267.47,6860.42,31812.50,36722.44,1239855.10,148188.99,1186826.35,1292883.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1536,793.15,71.35,767.61,818.68
RSA,None,1024,3,-1,68690.27,9597.53,65255.84,72124.70,1835821.37,170523.36,1774800.37,1896842.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1792,528.33,37.56,514.89,541.77
RSA,None,1024,4,-1,104392.20,16585.19,98457.26,110327.14,2465696.67,229072.85,2383724.00,2547669.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2048,391.71,29.73,381.07,402.35
RSA,None,1024,5,-1,180423.27,72227.65,154576.94,206269.60,3148842.37,277723.21,3049460.39,3248224.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2304,302.58,24.89,293.67,311.48
RSA,None,1024,6,-1,215427.47,66359.84,191680.90,239174.03,3821111.77,441827.47,3663005.84,3979217.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2560,250.53,24.32,241.83,259.23
RSA,None,1024,7,-1,259540.07,86427.04,228612.55,290467.58,4439276.37,423857.72,4287600.83,4590951.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2816,214.48,17.55,208.20,220.76
RSA,None,1024,8,-1,299372.90,67375.86,275262.76,323483.04,5048986.23,385903.87,4910892.31,5187080.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3072,187.95,12.59,183.44,192.45
RSA,AES-GCM,8,1,-1,0.00,0.00,0.00,0.00,670783.07,129691.17,624373.68,717192.46,12026.77,12731.87,7470.73,16582.81,0.00,0.00,0.00,0.00,292,1506.16,215.78,1428.95,1583.38
RSA,AES-GCM,8,2,-1,41010.07,21577.38,33288.70,48731.43,1297345.37,156750.51,1241252.92,1353437.81,23174.10,20988.87,15663.33,30684.87,2480.90,1419.13,1973.07,2988.73,548,745.06,88.99,713.21,776.90
RSA,AES-GCM,8,3,-1,80433.37,26639.83,70900.42,89966.31,1938653.67,207056.42,1864559.48,2012747.86,30320.00,16274.48,24496.25,36143.75,5485.03,2359.75,4640.61,6329.46,804,492.35,51.30,473.99,510.70
RSA,AES-GCM,8,4,-1,116123.10,29889.90,105427.14,126819.06,2546198.47,194979.16,2476426.07,2615970.86,38121.10,17546.48,31842.17,44400.03,8022.43,4705.48,6338.60,9706.27,1060,371.57,29.14,361.15,382.00
RSA,AES-GCM,8,5,-1,132122.87,18294.74,125576.18,138669.55,3080374.10,198745.00,3009254.12,3151494.08,35473.37,16104.31,29710.51,41236.22,8480.93,2588.63,7554.60,9407.26,1316,308.28,18.80,301.55,315.01
RSA,AES-GCM,8,6,-1,206516.90,32239.82,194980.03,218053.77,4720124.83,809052.96,4430608.95,5009640.72,47004.40,7975.67,44150.34,49858.46,12654.30,2080.08,11909.95,13398.65,1572,207.03,39.53,192.88,221.18
RSA,AES-GCM,8,7,-1,335362.77,67025.08,311378.15,359347.38,6284229.13,303175.33,6175739.23,6392719.03,92178.33,31335.21,80965.17,103391.50,22000.30,9215.60,18702.54,25298.06,1828,148.91,7.74,146.14,151.68
RSA,AES-GCM,8,8,-1,407453.90,83691.80,377505.17,437402.63,7354969.80,309526.29,7244207.24,7465732.36,115287.47,43642.83,99670.08,130904.85,26667.70,8065.84,23781.38,29554.02,2084,126.80,6.11,124.61,128.98
RSA,AES-GCM,16,1,-1,0.00,0.00,0.00,0.00,947470.90,111803.73,907462.45,987479.35,13110.07,6911.39,10636.86,15583.28,0.00,0.00,0.00,0.00,300,1050.56,85.23,1020.06,1081.06
RSA,AES-GCM,16,2,-1,48513.30,7192.30,45939.57,51087.03,1846796.37,111417.24,1806926.22,1886666.51,23149.40,10944.34,19233.02,27065.78,3386.57,1767.00,2754.25,4018.88,556,521.84,26.07,512.51,531.17
RSA,AES-GCM,16,3,-1,110180.60,32408.88,98583.23,121777.97,2816809.70,209901.19,2741697.52,2891921.88,39709.83,22977.25,31487.53,47932.14,7380.57,3572.49,6102.17,8658.97,812,338.12,24.07,329.51,346.73
RSA,AES-GCM,16,4,-1,165631.00,47752.45,148543.01,182718.99,3745023.10,209264.91,3670138.61,3819907.59,52226.30,20052.66,45050.55,59402.05,10264.50,4429.26,8679.51,11849.49,1068,252.44,13.59,247.58,257.30
RSA,AES-GCM,16,5,-1,196650.40,45434.26,180391.96,212908.84,4519873.40,255690.66,4428375.67,4611371.13,49347.20,19909.83,42222.56,56471.84,12358.50,3220.76,11205.96,13511.04,1324,209.97,11.84,205.73,214.21
